epoch,train_loss,val_cer,val_wer,val_exact,slope,window_gain,lr,seconds,vram_mb
1,3.036469589336526,0.7288609364081062,0.9933774834437086,0.02,0.0,inf,0.001,1009.2319281101227,5041.99853515625
2,2.5317267105461956,0.6722571628232006,1.0165562913907285,0.05,0.0,inf,0.001,399.3697783946991,5028.75439453125
3,2.0427923944700965,0.5932914046121593,0.9668874172185431,0.08,0.0,inf,0.001,363.7667543888092,4935.27880859375
4,1.3480889307897401,0.48427672955974843,0.9039735099337748,0.13,0.0,inf,0.001,341.900515794754,4839.595703125
5,0.7910289339705249,0.403214535290007,0.8443708609271523,0.19,-0.08392732354996506,0.3256464011180992,0.001,333.2928557395935,3944.1552734375
6,0.4470756378820529,0.37596086652690425,0.8178807947019867,0.18,-0.0782669461914745,0.29629629629629634,0.001,336.19925236701965,3943.2314453125
7,0.3093719574960838,0.36827393431167016,0.804635761589404,0.22,-0.05583508036338225,0.2250174703004892,0.001,320.46298336982727,3941.4990234375
8,0.17446740671563035,0.36477987421383645,0.8344370860927153,0.19,-0.02739343116701608,0.11949685534591198,0.001,489.67616176605225,3943.0439453125
9,0.13381473797276752,0.3549965059399022,0.7814569536423841,0.23,-0.010761705101327745,0.04821802935010483,0.001,367.2535243034363,3942.53076171875
10,0.12091540895567955,0.35429769392033544,0.8013245033112583,0.25,-0.00566037735849056,0.021663172606568804,0.001,286.881338596344,3943.0615234375
11,0.09366363063754392,0.3382250174703005,0.7615894039735099,0.22,-0.0070580013976240365,0.030048916841369677,0.001,307.6501693725586,3943.5927734375
12,0.05050864295295601,0.3584905660377358,0.8178807947019867,0.21,-0.002935010482180295,0.02655485674353597,0.001,297.6523892879486,3941.8740234375
13,0.050516958241261206,0.3312368972746331,0.7715231788079471,0.22,-0.004332634521313772,0.02375960866526905,0.001,311.3473947048187,3944.3115234375
14,0.08398448443588676,0.336827393431167,0.7748344370860927,0.22,-0.00419287211740042,0.02306079664570232,0.001,336.8733253479004,3944.94189453125
15,0.04729283229610309,0.34311670160726765,0.7913907284768212,0.12,-0.001187980433263447,0.006988120195667358,0.001,644.026469707489,3942.34716796875
16,0.046803259807503585,0.32634521313766596,0.7814569536423841,0.22,-0.005241090146750521,0.03214535290006987,0.001,339.76240611076355,3942.81640625
17,0.029858856097552268,0.33403214535290005,0.7880794701986755,0.2,-0.0004891684136967223,0.004891684136967167,0.001,280.0547037124634,3943.75341796875
18,0.042397897968945136,0.36268343815513626,0.8311258278145696,0.23,0.004262753319357088,0.010482180293501064,0.001,273.20490860939026,3942.41845703125
19,0.04787404562824451,0.3221523410202656,0.7483443708609272,0.25,-0.0005590496156533842,0.020964360587002073,0.001,466.7894287109375,3941.82470703125
20,0.018743228949842615,0.33193570929419985,0.7980132450331126,0.24,-6.988120195666747e-05,0.004192872117400381,0.001,422.25276279449463,3942.40478515625
21,0.05440077603647806,0.3312368972746331,0.7615894039735099,0.24,-0.003633822501747025,0.01187980433263447,0.001,629.7063264846802,3940.8916015625
22,0.01868914320212174,0.3214535290006988,0.7582781456953642,0.25,-0.007337526205450739,0.04122990915443747,0.001,530.9458136558533,3942.1240234375
23,0.030245557152100123,0.3284416491963662,0.7781456953642384,0.21,0.00020964360587001906,0.0006988120195667857,0.001,417.8604955673218,3941.8427734375
24,0.027460085643999196,0.34102026554856746,0.7516556291390728,0.19,0.0015373864430468288,0.010482180293501064,0.001,278.510217666626,3944.82470703125
25,0.03554480227627615,0.3116701607267645,0.7649006622516556,0.23,-0.0019566736547868557,0.019566736547868613,0.001,307.2171092033386,3945.130859375
